sb100;null;sb98;[sb99,143.0,27.0,40.0,17.0]
sb101;null;sb99;[sb100,183.0,36.0,44.0,45.0]
sb102;null;sb100;[sb101,227.0,36.0,30.0,36.0]
sb103;null;sb101;[sb102,257.0,31.0,40.0,36.0]
sb104;null;sb102;[sb103,297.0,31.0,34.0,34.0]
sb105;null;sb103;[sb104,331.0,48.0,42.0,14.0]
sb106;null;sb104;[sb105,373.0,48.0,35.0,33.0]
null;null;sb105;[sb106,408.0,21.0,12.0,33.0]
sb108;sb126;sb88;[sb107,420.0,21.0,32.0,15.0]
sb109;null;sb107;[sb108,452.0,42.0,37.0,38.0]
sb110;null;sb108;[sb109,489.0,42.0,42.0,46.0]
sb111;null;sb109;[sb110,531.0,44.0,39.0,42.0]
sb112;null;sb110;[sb111,570.0,44.0,13.0,21.0]
sb70;null;sb111;[sb112,583.0,44.0,30.0,25.0]
sb114;null;sb112;[sb70,2099.0,0.0,16.0,45.0]
sb115;null;sb70;[sb114,649.0,44.0,34.0,44.0]
sb116;null;sb114;[sb115,683.0,29.0,34.0,22.0]
sb117;null;sb115;[sb116,717.0,17.0,28.0,19.0]
sb118;null;sb116;[sb117,745.0,43.0,39.0,21.0]
sb119;null;sb117;[sb118,784.0,43.0,44.0,38.0]
sb120;null;sb118;[sb119,828.0,40.0,28.0,45.0]
sb121;null;sb119;[sb120,856.0,40.0,36.0,36.0]
sb122;null;sb120;[sb121,892.0,30.0,34.0,38.0]
sb123;null;sb121;[sb122,926.0,36.0,43.0,20.0]
sb124;null;sb122;[sb123,969.0,36.0,23.0,36.0]
sb125;null;sb123;[sb124,992.0,46.0,31.0,35.0]
null;null;sb124;[sb125,1023.0,46.0,46.0,42.0]
sb127;sb148;sb107;[sb126,1069.0,30.0,22.0,12.0]
sb128;null;sb126;[sb127,1091.0,30.0,25.0,43.0]
sb129;null;sb127;[sb128,1116.0,47.0,44.0,28.0]
sb130;null;sb128;[sb129,1160.0,47.0,34.0,22.0]
sb131;null;sb129;[sb130,1194.0,25.0,26.0,30.0]
sb132;null;sb130;[sb131,1224.0,25.0,48.0,45.0]
sb133;null;sb131;[sb132,1272.0,21.0,18.0,39.0]
sb134;null;sb132;[sb133,1290.0,24.0,15.0,43.0]
sb135;null;sb133;[sb134,1305.0,25.0,34.0,47.0]
sb136;null;sb134;[sb135,1339.0,40.0,45.0,15.0]
